sound_id,category_audio,categories_use,recommended_noise,mix_ratio_layer1,mix_ratio_layer2,needs_review,source_note,TH_C_score,DN_S_score,SS_R_score,SM_F_score,HB_M_score,profile_score_note
rain_concrete_city_rain_soft_residential_neighborhood_night_car_pass_by_wet_roads_side_streets_02,rain,"daily,relaxation",brown_lowpass_1000,0.70,0.30,false,[FROM_FILENAME_INFERENCE: car_pass_by = transients → daily въпреки 'night'+'soft'],8.6,5.4,7.0,7.0,7.7,TH_C=8.6[sp9.0/u7.5/n9/d9.0 +rain] | DN_S=5.4[sp5.0/u3.0/n8/d9.0 neutral] | SS_R=7.0[sp8.0/u4.5/n8/d9.0 +soft] | SM_F=7.0[sp5.0/u7.5/n9/d9.0 neutral] | HB_M=7.7[sp9.5/u6.8/n5/d9.0 +soft] | [FALLBACK: green_noise предстои Phase 2 — SS_R compensated by calm_nature/meditation_music]
rain_general_medium_drip_details_night_wide,rain,"relaxation,falling_asleep",brown_lowpass_1000,0.85,0.15,false,[FROM_FILENAME_INFERENCE: medium_drip+night+wide = балансиран нощен дъжд],7.9,6.5,6.5,7.1,6.8,TH_C=7.9[sp8.5/u6.0/n9/d9.0 +rain] | DN_S=6.5[sp5.0/u6.8/n8/d9.0 neutral] | SS_R=6.5[sp6.0/u5.2/n8/d9.0 neutral] | SM_F=7.1[sp6.5/u6.0/n9/d9.0 neutral] | HB_M=6.8[sp6.5/u7.5/n5/d9.0 neutral]
rain_glass_rain_car_window_perspective_medium_01,rain,"falling_asleep,relaxation",brown_lowpass_1000,0.85,0.15,false,[FROM_FILENAME_INFERENCE: rain on car window = типичен релакс звук],7.9,6.5,6.5,7.1,7.3,TH_C=7.9[sp8.5/u6.0/n9/d9.0 +rain] | DN_S=6.5[sp5.0/u6.8/n8/d9.0 neutral] | SS_R=6.5[sp6.0/u5.2/n8/d9.0 neutral] | SM_F=7.1[sp6.5/u6.0/n9/d9.0 neutral] | HB_M=7.3[sp8.0/u7.5/n5/d9.0 neutral]
rain_glass_window_roof_location_2_medium_room_loft_roof_window,rain,"sleep_deep,falling_asleep,relaxation",brown_lowpass_1000,0.85,0.15,false,[FROM_FILENAME_INFERENCE: rain on window+roof отвътре = идеален sleep],8.3,7.5,6.9,7.5,8.0,TH_C=8.3[sp8.5/u7.5/n9/d9.0 +rain] | DN_S=7.5[sp5.0/u10.0/n8/d9.0 neutral] | SS_R=6.9[sp6.0/u6.8/n8/d9.0 neutral] | SM_F=7.5[sp6.5/u7.5/n9/d9.0 neutral] | HB_M=8.0[sp8.0/u9.8/n5/d9.0 neutral]
rain_interior_rain_medium_drops_drumming_clunking,rain,"daily,relaxation",brown_lowpass_1000,0.70,0.30,false,[FROM_FILENAME_INFERENCE: drumming+clunking = transients → не за sleep],8.3,5.4,6.2,7.5,6.5,TH_C=8.3[sp8.5/u7.5/n9/d9.0 +rain] | DN_S=5.4[sp5.0/u3.0/n8/d9.0 neutral] | SS_R=6.2[sp6.0/u4.5/n8/d9.0 neutral] | SM_F=7.5[sp6.5/u7.5/n9/d9.0 neutral] | HB_M=6.5[sp6.5/u6.8/n5/d9.0 neutral]
rain_interior_rain_medium_inside_car,rain,"sleep_deep,falling_asleep,relaxation",brown_lowpass_500,0.85,0.15,false,[FROM_FILENAME_INFERENCE: inside_car = muffled distant → sleep],7.8,7.9,7.1,7.0,8.0,TH_C=7.8[sp8.5/u7.5/n6/d9.0 +rain] | DN_S=7.9[sp5.0/u10.0/n10/d9.0 neutral] | SS_R=7.1[sp6.0/u6.8/n9/d9.0 neutral] | SM_F=7.0[sp6.5/u7.5/n6/d9.0 neutral] | HB_M=8.0[sp6.5/u9.8/n8/d9.0 neutral] | [FALLBACK: green_noise предстои Phase 2 — SS_R compensated by calm_nature/meditation_music]
rain_interior_rain_on_window_house_apartment_room_tone_light_rain,rain,"sleep_deep,falling_asleep",brown_lowpass_500,0.85,0.15,false,[FROM_FILENAME_INFERENCE: light_rain+window+room_tone = идеален sleep],7.0,7.6,6.8,5.2,8.3,TH_C=7.0[sp9.0/u4.5/n6/d9.0 +rain] | DN_S=7.6[sp5.0/u9.0/n10/d9.0 neutral] | SS_R=6.8[sp7.5/u3.8/n9/d9.0 neutral] | SM_F=5.2[sp5.0/u3.8/n6/d9.0 neutral] | HB_M=8.3[sp10.0/u6.0/n8/d9.0 +light]
rain_plastic_medium_outside_plastic_window,rain,"relaxation,falling_asleep",brown_lowpass_1000,0.85,0.15,false,[FROM_FILENAME_INFERENCE: medium rain on plastic = средно ниво],7.9,6.5,6.5,7.1,7.3,TH_C=7.9[sp8.5/u6.0/n9/d9.0 +rain] | DN_S=6.5[sp5.0/u6.8/n8/d9.0 neutral] | SS_R=6.5[sp6.0/u5.2/n8/d9.0 neutral] | SM_F=7.1[sp6.5/u6.0/n9/d9.0 neutral] | HB_M=7.3[sp8.0/u7.5/n5/d9.0 neutral]
rain_plastic_medium_to_light_outside_plastic_window,rain,"sleep_deep,falling_asleep",brown_lowpass_500,0.85,0.15,false,[FROM_FILENAME_INFERENCE: medium-to-light = по-тих → sleep_deep],7.5,7.6,6.8,5.8,8.3,"TH_C=7.5[sp10.0/u4.5/n6/d9.0 +rain] | DN_S=7.6[sp5.0/u9.0/n10/d9.0 neutral] | SS_R=6.8[sp7.5/u3.8/n9/d9.0 neutral] | SM_F=5.8[sp6.5/u3.8/n6/d9.0 neutral] | HB_M=8.3[sp10.0/u6.0/n8/d9.0 +light,+medium_to_light]"
rain_plastic_medium_to_light_under_plastic_roof_01,rain,"sleep_deep,falling_asleep",brown_lowpass_500,0.85,0.15,false,[FROM_FILENAME_INFERENCE: medium-to-light под покрив = по-тих],7.5,7.6,6.8,5.8,8.3,"TH_C=7.5[sp10.0/u4.5/n6/d9.0 +rain] | DN_S=7.6[sp5.0/u9.0/n10/d9.0 neutral] | SS_R=6.8[sp7.5/u3.8/n9/d9.0 neutral] | SM_F=5.8[sp6.5/u3.8/n6/d9.0 neutral] | HB_M=8.3[sp10.0/u6.0/n8/d9.0 +light,+medium_to_light]"
rain_plastic_medium_to_light_under_plastic_roof_02,rain,"sleep_deep,falling_asleep",brown_lowpass_500,0.85,0.15,false,[FROM_FILENAME_INFERENCE: variant of _01],7.5,7.6,6.8,5.8,8.3,"TH_C=7.5[sp10.0/u4.5/n6/d9.0 +rain] | DN_S=7.6[sp5.0/u9.0/n10/d9.0 neutral] | SS_R=6.8[sp7.5/u3.8/n9/d9.0 neutral] | SM_F=5.8[sp6.5/u3.8/n6/d9.0 neutral] | HB_M=8.3[sp10.0/u6.0/n8/d9.0 +light,+medium_to_light]"
rain_plastic_on_plastic_umbrella_medium_intensity_dense_dripping,rain,"relaxation,falling_asleep",brown_lowpass_1000,0.85,0.15,false,[FROM_FILENAME_INFERENCE: dense_dripping = повтарящ ритъм],7.9,6.5,6.5,7.1,6.8,TH_C=7.9[sp8.5/u6.0/n9/d9.0 +rain] | DN_S=6.5[sp5.0/u6.8/n8/d9.0 neutral] | SS_R=6.5[sp6.0/u5.2/n8/d9.0 neutral] | SM_F=7.1[sp6.5/u6.0/n9/d9.0 neutral] | HB_M=6.8[sp6.5/u7.5/n5/d9.0 neutral]
rain_plastic_plastic_buckets_multiple_drops_medium_busy_01,rain,"daily,relaxation",brown_lowpass_1000,0.70,0.30,false,[FROM_FILENAME_INFERENCE: multiple_drops+busy = много transients → не sleep],8.2,4.8,5.5,7.3,5.7,TH_C=8.2[sp8.5/u7.5/n9/d7.0 +rain] | DN_S=4.8[sp4.0/u3.0/n8/d7.0 neutral] | SS_R=5.5[sp4.5/u4.5/n8/d7.0 neutral] | SM_F=7.3[sp6.5/u7.5/n9/d7.0 neutral] | HB_M=5.7[sp5.0/u6.8/n5/d7.0 neutral]
rain_plastic_plastic_buckets_multiple_drops_medium_busy_02,rain,"daily,relaxation",brown_lowpass_1000,0.70,0.30,false,[FROM_FILENAME_INFERENCE: variant of _01],8.2,4.8,5.5,7.3,5.7,TH_C=8.2[sp8.5/u7.5/n9/d7.0 +rain] | DN_S=4.8[sp4.0/u3.0/n8/d7.0 neutral] | SS_R=5.5[sp4.5/u4.5/n8/d7.0 neutral] | SM_F=7.3[sp6.5/u7.5/n9/d7.0 neutral] | HB_M=5.7[sp5.0/u6.8/n5/d7.0 neutral]
rain_plastic_rain_shutters_02,rain,"relaxation,falling_asleep",brown_lowpass_1000,0.85,0.15,false,[FROM_FILENAME_INFERENCE: rain on shutters = средно ниво],7.5,6.5,6.5,6.5,6.8,TH_C=7.5[sp7.5/u6.0/n9/d9.0 +rain] | DN_S=6.5[sp5.0/u6.8/n8/d9.0 neutral] | SS_R=6.5[sp6.0/u5.2/n8/d9.0 neutral] | SM_F=6.5[sp5.0/u6.0/n9/d9.0 neutral] | HB_M=6.8[sp6.5/u7.5/n5/d9.0 neutral]
rain_vegetation_medium_leaves_drop_tropical_jungle,rain,"relaxation,falling_asleep",brown_lowpass_1000,0.85,0.15,false,[FROM_FILENAME_INFERENCE: rain on tropical leaves = soft natural],8.5,6.5,6.5,7.1,7.8,TH_C=8.5[sp10.0/u6.0/n9/d9.0 +rain] | DN_S=6.5[sp5.0/u6.8/n8/d9.0 neutral] | SS_R=6.5[sp6.0/u5.2/n8/d9.0 neutral] | SM_F=7.1[sp6.5/u6.0/n9/d9.0 neutral] | HB_M=7.8[sp9.0/u7.5/n5/d9.0 +leaves]
rain_wood_rain_front_porch_rain_on_door_medium,rain,"relaxation,falling_asleep",brown_lowpass_1000,0.85,0.15,false,[FROM_FILENAME_INFERENCE: rain on wood porch = mid-range],7.9,6.5,6.5,7.1,6.8,TH_C=7.9[sp8.5/u6.0/n9/d9.0 +rain] | DN_S=6.5[sp5.0/u6.8/n8/d9.0 neutral] | SS_R=6.5[sp6.0/u5.2/n8/d9.0 neutral] | SM_F=7.1[sp6.5/u6.0/n9/d9.0 neutral] | HB_M=6.8[sp6.5/u7.5/n5/d9.0 neutral]
wind_general_rain_playa_blanca_village_drops_metal_sheet_roof_movement_04,rain,"daily,relaxation",brown_lowpass_500,0.70,0.30,false,[FROM_FILENAME_INFERENCE: rain on metal_sheet = bright transients → daily; brown_lowpass_500 за маскиране на metal],7.3,5.2,6.5,6.3,7.7,TH_C=7.3[sp7.5/u7.5/n6/d9.0 +rain] | DN_S=5.2[sp3.5/u3.0/n10/d9.0 neutral] | SS_R=6.5[sp6.0/u4.5/n9/d9.0 neutral] | SM_F=6.3[sp5.0/u7.5/n6/d9.0 neutral] | HB_M=7.7[sp8.0/u6.8/n8/d9.0 neutral]
ambience_forest_wetlands_river_water_wind_ship,river,"daily,relaxation",brown_lowpass_1000,0.70,0.30,false,[FROM_FILENAME_INFERENCE: ship = transient → daily],7.5,5.4,6.5,7.5,6.5,TH_C=7.5[sp6.5/u7.5/n9/d9.0 +river] | DN_S=5.4[sp5.0/u3.0/n8/d9.0 neutral] | SS_R=6.5[sp6.5/u4.5/n8/d9.0 neutral] | SM_F=7.5[sp6.5/u7.5/n9/d9.0 neutral] | HB_M=6.5[sp6.5/u6.8/n5/d9.0 neutral]
ambience_underwater_bubbles_dark_spacious_boiling_flowing,river,"meditation,relaxation",pink_lowpass_4000,0.85,0.15,false,[FROM_FILENAME_INFERENCE: boiling = активен → meditation/relax не sleep; pink_lowpass_4000 за underwater bass-balance],6.5,6.6,5.9,6.9,5.9,TH_C=6.5[sp5.0/u5.2/n10/d9.0 neutral] | DN_S=6.6[sp8.5/u3.8/n6/d9.0 +low] | SS_R=5.9[sp5.0/u6.0/n6/d9.0 neutral] | SM_F=6.9[sp6.5/u6.8/n7/d9.0 neutral] | HB_M=5.9[sp5.0/u6.0/n6/d9.0 neutral]
ambience_underwater_dark_deep_leak_gurgling_flowing,river,"meditation,relaxation,falling_asleep",pink_lowpass_4000,0.85,0.15,false,[FROM_FILENAME_INFERENCE: gurgling+dark_deep = мек обвиващ звук],7.4,8.6,6.6,7.6,7.0,"TH_C=7.4[sp5.0/u8.2/n10/d9.0 neutral] | DN_S=8.6[sp10.0/u8.2/n6/d9.0 +deep,+low] | SS_R=6.6[sp5.0/u8.2/n6/d9.0 neutral] | SM_F=7.6[sp6.5/u9.0/n7/d9.0 neutral] | HB_M=7.0[sp5.0/u9.8/n6/d9.0 neutral]"
ambience_underwater_dark_eerie_deep_bubbles_spacious_stream,river,meditation,pink_lowpass_4000,0.85,0.15,false,[FROM_FILENAME_INFERENCE: eerie = атмосферно → само meditation],5.6,6.4,3.9,5.0,4.0,TH_C=5.6[sp5.5/u2.2/n10/d7.5 +stream] | DN_S=6.4[sp10.0/u1.5/n6/d7.5 +deep] | SS_R=3.9[sp2.5/u3.0/n6/d7.5 -eerie] | SM_F=5.0[sp5.0/u3.0/n7/d7.5 neutral] | HB_M=4.0[sp3.5/u2.2/n6/d7.5 neutral]
ambience_underwater_dark_eerie_spacious_flowing_roaring_01,river,meditation,pink_lowpass_4000,0.85,0.15,false,[FROM_FILENAME_INFERENCE: eerie+roaring = мрачно → само meditation],4.2,5.4,2.9,5.7,3.2,"TH_C=4.2[sp2.0/u2.2/n10/d7.5 neutral] | DN_S=5.4[sp7.5/u1.5/n6/d7.5 +low] | SS_R=2.9[sp0.0/u3.0/n6/d7.5 -eerie,-roar] | SM_F=5.7[sp6.5/u3.0/n7/d7.5 neutral] | HB_M=3.2[sp1.5/u2.2/n6/d7.5 -roar]"
ambience_underwater_dark_eerie_spacious_flowing_roaring_02,river,meditation,pink_lowpass_4000,0.85,0.15,false,[FROM_FILENAME_INFERENCE: variant of _01],4.2,5.4,2.9,5.7,3.2,"TH_C=4.2[sp2.0/u2.2/n10/d7.5 neutral] | DN_S=5.4[sp7.5/u1.5/n6/d7.5 +low] | SS_R=2.9[sp0.0/u3.0/n6/d7.5 -eerie,-roar] | SM_F=5.7[sp6.5/u3.0/n7/d7.5 neutral] | HB_M=3.2[sp1.5/u2.2/n6/d7.5 -roar]"
ambience_underwater_gargle_river_flow_bubbles_water_telluride_usa_02,river,"relaxation,meditation,falling_asleep",pink_lowpass_4000,0.85,0.15,false,[FROM_FILENAME_INFERENCE: gargle+river_flow = continuous flow],8.2,8.0,6.6,7.6,7.0,TH_C=8.2[sp7.0/u8.2/n10/d9.0 +river] | DN_S=8.0[sp8.5/u8.2/n6/d9.0 +low] | SS_R=6.6[sp5.0/u8.2/n6/d9.0 neutral] | SM_F=7.6[sp6.5/u9.0/n7/d9.0 neutral] | HB_M=7.0[sp5.0/u9.8/n6/d9.0 neutral]
ambience_underwater_gargle_river_flow_bubbles_water_telluride_usa_03,river,"relaxation,meditation,falling_asleep",pink_lowpass_4000,0.85,0.15,false,[FROM_FILENAME_INFERENCE: variant of _02],8.2,8.0,6.6,7.6,7.0,TH_C=8.2[sp7.0/u8.2/n10/d9.0 +river] | DN_S=8.0[sp8.5/u8.2/n6/d9.0 +low] | SS_R=6.6[sp5.0/u8.2/n6/d9.0 neutral] | SM_F=7.6[sp6.5/u9.0/n7/d9.0 neutral] | HB_M=7.0[sp5.0/u9.8/n6/d9.0 neutral]
ambience_underwater_gargle_river_flow_bubbles_water_telluride_usa_05,river,"relaxation,meditation,falling_asleep",pink_lowpass_4000,0.85,0.15,false,[FROM_FILENAME_INFERENCE: variant of _02],8.2,8.0,6.6,7.6,7.0,TH_C=8.2[sp7.0/u8.2/n10/d9.0 +river] | DN_S=8.0[sp8.5/u8.2/n6/d9.0 +low] | SS_R=6.6[sp5.0/u8.2/n6/d9.0 neutral] | SM_F=7.6[sp6.5/u9.0/n7/d9.0 neutral] | HB_M=7.0[sp5.0/u9.8/n6/d9.0 neutral]
ambience_underwater_river_flowing_01,river,"sleep_deep,falling_asleep,meditation",pink_lowpass_4000,0.85,0.15,false,[FROM_RESEARCH: режекторен филтър ред 86 — широколентови природни звуци за wide masking; underwater river flow = ideal continuous masker],7.7,8.5,6.1,7.5,6.6,TH_C=7.7[sp7.0/u6.8/n10/d9.0 +river] | DN_S=8.5[sp8.5/u10.0/n6/d9.0 +low] | SS_R=6.1[sp5.0/u6.8/n6/d9.0 neutral] | SM_F=7.5[sp8.0/u6.8/n7/d9.0 neutral] | HB_M=6.6[sp5.0/u8.2/n6/d9.0 neutral]
ambience_underwater_river_flowing_02,river,"sleep_deep,falling_asleep,meditation",pink_lowpass_4000,0.85,0.15,false,[FROM_FILENAME_INFERENCE: variant of _01],7.7,8.5,6.1,7.5,6.6,TH_C=7.7[sp7.0/u6.8/n10/d9.0 +river] | DN_S=8.5[sp8.5/u10.0/n6/d9.0 +low] | SS_R=6.1[sp5.0/u6.8/n6/d9.0 neutral] | SM_F=7.5[sp8.0/u6.8/n7/d9.0 neutral] | HB_M=6.6[sp5.0/u8.2/n6/d9.0 neutral]
ambience_underwater_river_flowing_03,river,"sleep_deep,falling_asleep,meditation",pink_lowpass_4000,0.85,0.15,false,[FROM_FILENAME_INFERENCE: variant of _01],7.7,8.5,6.1,7.5,6.6,TH_C=7.7[sp7.0/u6.8/n10/d9.0 +river] | DN_S=8.5[sp8.5/u10.0/n6/d9.0 +low] | SS_R=6.1[sp5.0/u6.8/n6/d9.0 neutral] | SM_F=7.5[sp8.0/u6.8/n7/d9.0 neutral] | HB_M=6.6[sp5.0/u8.2/n6/d9.0 neutral]
ambience_underwater_river_flowing_04,river,"sleep_deep,falling_asleep,meditation",pink_lowpass_4000,0.85,0.15,false,[FROM_FILENAME_INFERENCE: variant of _01],7.7,8.5,6.1,7.5,6.6,TH_C=7.7[sp7.0/u6.8/n10/d9.0 +river] | DN_S=8.5[sp8.5/u10.0/n6/d9.0 +low] | SS_R=6.1[sp5.0/u6.8/n6/d9.0 neutral] | SM_F=7.5[sp8.0/u6.8/n7/d9.0 neutral] | HB_M=6.6[sp5.0/u8.2/n6/d9.0 neutral]
ambience_underwater_river_flowing_05,river,"sleep_deep,falling_asleep,meditation",pink_lowpass_4000,0.85,0.15,false,[FROM_FILENAME_INFERENCE: variant of _01],7.7,8.5,6.1,7.5,6.6,TH_C=7.7[sp7.0/u6.8/n10/d9.0 +river] | DN_S=8.5[sp8.5/u10.0/n6/d9.0 +low] | SS_R=6.1[sp5.0/u6.8/n6/d9.0 neutral] | SM_F=7.5[sp8.0/u6.8/n7/d9.0 neutral] | HB_M=6.6[sp5.0/u8.2/n6/d9.0 neutral]
ambience_underwater_river_flowing_06,river,"sleep_deep,falling_asleep,meditation",pink_lowpass_4000,0.85,0.15,false,[FROM_FILENAME_INFERENCE: variant of _01],7.7,8.5,6.1,7.5,6.6,TH_C=7.7[sp7.0/u6.8/n10/d9.0 +river] | DN_S=8.5[sp8.5/u10.0/n6/d9.0 +low] | SS_R=6.1[sp5.0/u6.8/n6/d9.0 neutral] | SM_F=7.5[sp8.0/u6.8/n7/d9.0 neutral] | HB_M=6.6[sp5.0/u8.2/n6/d9.0 neutral]
ambience_underwater_trickle_bright_detailed_stream,river,"relaxation,falling_asleep",brown_lowpass_500,0.85,0.15,false,[FROM_FILENAME_INFERENCE: bright+detailed = top-end присъства → brown_lowpass_500 заглажда],6.7,7.1,6.3,5.9,6.8,TH_C=6.7[sp7.0/u6.0/n6/d9.0 +stream] | DN_S=7.1[sp5.5/u6.8/n10/d9.0 -bright] | SS_R=6.3[sp5.0/u5.2/n9/d9.0 neutral] | SM_F=5.9[sp5.0/u6.0/n6/d9.0 neutral] | HB_M=6.8[sp5.0/u7.5/n8/d9.0 neutral]
ambience_underwater_water_flow_01,river,"sleep_deep,falling_asleep,meditation",pink_lowpass_4000,0.85,0.15,false,[FROM_FILENAME_INFERENCE: чисто underwater water flow],6.9,8.5,6.1,6.3,6.6,TH_C=6.9[sp5.0/u6.8/n10/d9.0 neutral] | DN_S=8.5[sp8.5/u10.0/n6/d9.0 +low] | SS_R=6.1[sp5.0/u6.8/n6/d9.0 neutral] | SM_F=6.3[sp5.0/u6.8/n7/d9.0 neutral] | HB_M=6.6[sp5.0/u8.2/n6/d9.0 neutral]
ambience_underwater_water_flow_02,river,"sleep_deep,falling_asleep,meditation",pink_lowpass_4000,0.85,0.15,false,[FROM_FILENAME_INFERENCE: variant of _01],6.9,8.5,6.1,6.3,6.6,TH_C=6.9[sp5.0/u6.8/n10/d9.0 neutral] | DN_S=8.5[sp8.5/u10.0/n6/d9.0 +low] | SS_R=6.1[sp5.0/u6.8/n6/d9.0 neutral] | SM_F=6.3[sp5.0/u6.8/n7/d9.0 neutral] | HB_M=6.6[sp5.0/u8.2/n6/d9.0 neutral]
ambience_underwater_water_flow_03,river,"sleep_deep,falling_asleep,meditation",pink_lowpass_4000,0.85,0.15,false,[FROM_FILENAME_INFERENCE: variant of _01],6.9,8.5,6.1,6.3,6.6,TH_C=6.9[sp5.0/u6.8/n10/d9.0 neutral] | DN_S=8.5[sp8.5/u10.0/n6/d9.0 +low] | SS_R=6.1[sp5.0/u6.8/n6/d9.0 neutral] | SM_F=6.3[sp5.0/u6.8/n7/d9.0 neutral] | HB_M=6.6[sp5.0/u8.2/n6/d9.0 neutral]
ambience_underwater_water_flow_04,river,"sleep_deep,falling_asleep,meditation",pink_lowpass_4000,0.85,0.15,false,[FROM_FILENAME_INFERENCE: variant of _01],6.9,8.5,6.1,6.3,6.6,TH_C=6.9[sp5.0/u6.8/n10/d9.0 neutral] | DN_S=8.5[sp8.5/u10.0/n6/d9.0 +low] | SS_R=6.1[sp5.0/u6.8/n6/d9.0 neutral] | SM_F=6.3[sp5.0/u6.8/n7/d9.0 neutral] | HB_M=6.6[sp5.0/u8.2/n6/d9.0 neutral]
rain_metal_rain_gutter_medium_drops_flowing,river,"relaxation,falling_asleep",brown_lowpass_500,0.85,0.15,false,[FROM_FILENAME_INFERENCE: metal_gutter = bright → brown_lowpass_500 заглажда; flowing → river категория],7.3,7.1,6.7,7.1,7.3,TH_C=7.3[sp8.5/u6.0/n6/d9.0 +rain] | DN_S=7.1[sp5.5/u6.8/n10/d9.0 +low] | SS_R=6.7[sp6.0/u5.2/n9/d9.0 neutral] | SM_F=7.1[sp8.0/u6.0/n6/d9.0 neutral] | HB_M=7.3[sp6.5/u7.5/n8/d9.0 neutral]
water_flow_deep_mountain_stream_creek_bubble,river,"falling_asleep,relaxation,meditation",brown_lowpass_1000,0.85,0.15,false,[FROM_FILENAME_INFERENCE: mountain_stream+bubble = класически natural water],8.4,9.0,7.0,7.4,6.8,"TH_C=8.4[sp8.0/u8.2/n9/d9.0 +stream] | DN_S=9.0[sp10.0/u8.2/n8/d9.0 +deep,+low] | SS_R=7.0[sp5.0/u8.2/n8/d9.0 neutral] | SM_F=7.4[sp5.0/u9.0/n9/d9.0 neutral] | HB_M=6.8[sp5.0/u9.8/n5/d9.0 neutral] | [FALLBACK: green_noise предстои Phase 2 — SS_R compensated by calm_nature/meditation_music]"
water_flow_river_calm_running_medium_distance_01,river,"falling_asleep,relaxation",brown_lowpass_1000,0.85,0.15,false,[FROM_FILENAME_INFERENCE: calm+medium_distance = балансиран релакс],8.3,7.3,7.3,7.7,7.2,TH_C=8.3[sp9.5/u6.0/n9/d9.0 +river] | DN_S=7.3[sp7.0/u6.8/n8/d9.0 +low] | SS_R=7.3[sp8.0/u5.2/n8/d9.0 +calm] | SM_F=7.7[sp8.0/u6.0/n9/d9.0 neutral] | HB_M=7.2[sp7.5/u7.5/n5/d9.0 +calm] | [FALLBACK: green_noise предстои Phase 2 — SS_R compensated by calm_nature/meditation_music]
water_flow_river_close_gentle_01,river,"falling_asleep,relaxation",brown_lowpass_1000,0.85,0.15,false,[FROM_FILENAME_INFERENCE: close+gentle = мек близък поток],7.9,7.3,7.1,7.1,7.3,TH_C=7.9[sp8.5/u6.0/n9/d9.0 +river] | DN_S=7.3[sp7.0/u6.8/n8/d9.0 +low] | SS_R=7.1[sp7.5/u5.2/n8/d9.0 +gentle] | SM_F=7.1[sp6.5/u6.0/n9/d9.0 neutral] | HB_M=7.3[sp8.0/u7.5/n5/d9.0 +gentle] | [FALLBACK: green_noise предстои Phase 2 — SS_R compensated by calm_nature/meditation_music]
water_flow_river_close_gentle_02,river,"falling_asleep,relaxation",brown_lowpass_1000,0.85,0.15,false,[FROM_FILENAME_INFERENCE: variant of _01],7.9,7.3,7.1,7.1,7.3,TH_C=7.9[sp8.5/u6.0/n9/d9.0 +river] | DN_S=7.3[sp7.0/u6.8/n8/d9.0 +low] | SS_R=7.1[sp7.5/u5.2/n8/d9.0 +gentle] | SM_F=7.1[sp6.5/u6.0/n9/d9.0 neutral] | HB_M=7.3[sp8.0/u7.5/n5/d9.0 +gentle] | [FALLBACK: green_noise предстои Phase 2 — SS_R compensated by calm_nature/meditation_music]
water_flow_river_current_fast_distant,river,"falling_asleep,relaxation",brown_lowpass_500,0.85,0.15,false,[FROM_FILENAME_INFERENCE: fast но distant = silhouette не близо],7.1,8.1,7.3,6.5,7.8,TH_C=7.1[sp8.0/u6.0/n6/d9.0 +river] | DN_S=8.1[sp8.0/u6.8/n10/d9.0 +low] | SS_R=7.3[sp7.5/u5.2/n9/d9.0 +distant] | SM_F=6.5[sp6.5/u6.0/n6/d9.0 neutral] | HB_M=7.8[sp7.5/u7.5/n8/d9.0 +distant] | [FALLBACK: green_noise предстои Phase 2 — SS_R compensated by calm_nature/meditation_music]
water_flow_river_current_small_fast_flow,river,"relaxation,daily",brown_lowpass_1000,0.85,0.15,false,[FROM_FILENAME_INFERENCE: small_fast_flow = активен но не overwhelming],7.8,6.2,5.8,7.5,5.9,TH_C=7.8[sp7.0/u7.5/n9/d9.0 +river] | DN_S=6.2[sp7.0/u3.0/n8/d9.0 +low] | SS_R=5.8[sp5.0/u4.5/n8/d9.0 neutral] | SM_F=7.5[sp6.5/u7.5/n9/d9.0 neutral] | HB_M=5.9[sp5.0/u6.8/n5/d9.0 neutral]
water_flow_river_flow_strong_bubbles_nature_forest_telluride,river,"relaxation,daily",brown_lowpass_1000,0.70,0.30,true,[FROM_FILENAME_INFERENCE: strong_flow → not sleep-grade; SUSPECT — needs spectral check],7.3,5.8,5.0,7.2,4.5,TH_C=7.3[sp7.0/u7.5/n9/d5.0 +river] | DN_S=5.8[sp7.0/u3.0/n8/d5.0 +low] | SS_R=5.0[sp4.0/u4.5/n8/d5.0 -strong] | SM_F=7.2[sp6.5/u7.5/n9/d5.0 neutral] | HB_M=4.5[sp2.5/u6.8/n5/d5.0 -strong]
water_flow_river_run_flow_valley_bubbles_calm_nature_san_miguel_river_telluride,river,"falling_asleep,relaxation,meditation",brown_lowpass_1000,0.85,0.15,false,[FROM_FILENAME_INFERENCE: calm+valley+bubbles = балансиран нежен flow],8.6,7.8,8.2,8.0,7.8,TH_C=8.6[sp8.5/u8.2/n9/d9.0 +river] | DN_S=7.8[sp7.0/u8.2/n8/d9.0 +low] | SS_R=8.2[sp8.0/u8.2/n8/d9.0 +calm] | SM_F=8.0[sp6.5/u9.0/n9/d9.0 neutral] | HB_M=7.8[sp7.5/u9.8/n5/d9.0 +calm] | [FALLBACK: green_noise предстои Phase 2 — SS_R compensated by calm_nature/meditation_music]
water_flow_river_small_mountain_stream,river,"falling_asleep,relaxation,meditation",brown_lowpass_1000,0.85,0.15,false,[FROM_FILENAME_INFERENCE: small_mountain_stream = меки detailed waters],9.2,9.0,7.0,8.0,6.8,"TH_C=9.2[sp10.0/u8.2/n9/d9.0 +river,+stream] | DN_S=9.0[sp10.0/u8.2/n8/d9.0 +low] | SS_R=7.0[sp5.0/u8.2/n8/d9.0 neutral] | SM_F=8.0[sp6.5/u9.0/n9/d9.0 neutral] | HB_M=6.8[sp5.0/u9.8/n5/d9.0 neutral] | [FALLBACK: green_noise предстои Phase 2 — SS_R compensated by calm_nature/meditation_music]"
